webgazer.js:138927 loaded stored data into regression model
favicon.ico:1 Failed to load resource: the server responded with a status of 404 (Not Found)
webgazer.js:138659 Out of Border
webgazer.js:138659 Out of Border
2webgazer.js:138652 Red Border!
test1.js:13 x : 409.0901131251868, y : 350.7104889835272, time stamp : 1626780040888
test1.js:13 x : 607.175550316022, y : 343.9154085567873, time stamp : 1626780042232
test1.js:13 x : 878.7747704320483, y : 235.1849378743355, time stamp : 1626780043597
test1.js:13 x : 928.6376308547943, y : 89.0024623955992, time stamp : 1626780044925
test1.js:13 x : 473.90708840676416, y : 174.0638356728144, time stamp : 1626780046242
test1.js:13 x : 859.963090962655, y : 314.82316927913394, time stamp : 1626780047570
test1.js:13 x : 961.4518701912596, y : 320.1890030961147, time stamp : 1626780048840
test1.js:13 x : 908.8782995871289, y : 281.29690166440645, time stamp : 1626780050191
test1.js:13 x : 755.1193295271207, y : 345.59169119427196, time stamp : 1626780051474
test1.js:13 x : 917.3049266315363, y : 181.64786602048352, time stamp : 1626780052775
test1.js:13 x : 1344.8589478893816, y : 248.6289885699257, time stamp : 1626780054026
test1.js:13 x : 789.985462997013, y : 282.2843935200053, time stamp : 1626780055388
test1.js:13 x : 1322.9084984534368, y : 417.46297201867645, time stamp : 1626780056630
test1.js:13 x : 1174.7985940131957, y : 295.27157819012353, time stamp : 1626780057890
test1.js:13 x : 1114.7866014461351, y : 369.7727636719562, time stamp : 1626780059141
test1.js:13 x : 1277.1672767502857, y : 283.97785050704715, time stamp : 1626780060421
test1.js:13 x : 1063.4981296687079, y : 33.617583396352025, time stamp : 1626780061680
test1.js:13 x : 452.5510901547617, y : 530.5655242497851, time stamp : 1626780062921
4webgazer.js:138652 Red Border!
test1.js:13 x : 636.2924625894777, y : 515.7183045037295, time stamp : 1626780064207
test1.js:13 x : 661.0845905848912, y : 463.4153424372123, time stamp : 1626780065483
test1.js:13 x : 1361.5720668878707, y : 335.50576037798425, time stamp : 1626780066739
test1.js:13 x : 1471.7487176251454, y : 207.6667352503379, time stamp : 1626780068001
test1.js:13 x : 1379.572608371352, y : 286.24199314021337, time stamp : 1626780069280
test1.js:13 x : 1351.277799990662, y : 346.72846354069884, time stamp : 1626780070632
test1.js:13 x : 1009.6188363684388, y : 509.39534258025253, time stamp : 1626780071899
test1.js:13 x : 1037.279389156985, y : 500.68250653873844, time stamp : 1626780073163
test1.js:13 x : 764.377649125587, y : 712.3877025678431, time stamp : 1626780074422
test1.js:13 x : 323.9011904415052, y : 638.5427041582032, time stamp : 1626780075691
test1.js:13 x : 130.82507765507367, y : 574.5228256461693, time stamp : 1626780076951
test1.js:13 x : 802.6003626460478, y : 349.5428252260328, time stamp : 1626780078202
test1.js:13 x : 1514.168254547803, y : 625.7253209391278, time stamp : 1626780079447
test1.js:13 x : 1358.8670480978597, y : 822.2840258770035, time stamp : 1626780080759
test1.js:13 x : 1793.8328410507047, y : 931.7405311117298, time stamp : 1626780082078
test1.js:85  -> x position : 1782, y position : 968
test1.js:90 getsize_button
test1.js:13 x : 1668.5226353967807, y : 882.6840573961586, time stamp : 1626780083423
test1.js:13 x : 1715.745838907793, y : 802.1538881365003, time stamp : 1626780084733
test1.js:13 x : 1554.8692309062856, y : 901.212909039988, time stamp : 1626780086004
test1.js:13 x : 975.5782680939026, y : 697.8248597432997, time stamp : 1626780087266
test1.js:13 x : 996.2819388553435, y : 586.2632671010982, time stamp : 1626780088511
test1.js:13 x : 1729.5366075470192, y : 484.57579214990125, time stamp : 1626780090019
test1.js:13 x : 1232.709176064403, y : 847.7374736527848, time stamp : 1626780091326
test1.js:13 x : 1460.593359302664, y : 915.9490751035427, time stamp : 1626780092599
test1.js:13 x : 1641.0962172984855, y : 445.1482210734158, time stamp : 1626780093920
test1.js:13 x : 1445.89756345052, y : 780.945624737744, time stamp : 1626780095237
test1.js:13 x : 1369.6686225951717, y : 984.8817859817995, time stamp : 1626780096539
test1.js:13 x : 1433.7091265799716, y : 976.4111818891865, time stamp : 1626780097804
test1.js:13 x : 1371.782305666215, y : 1017.9000424821309, time stamp : 1626780099189
test1.js:13 x : 893.3353855090483, y : 799.5277026636854, time stamp : 1626780100449
test1.js:13 x : 1338.6573140334838, y : 1012.2387773288258, time stamp : 1626780101733
test1.js:13 x : 1706.8974181947747, y : 877.1006327484048, time stamp : 1626780103016
test1.js:13 x : 1397.423735172339, y : 428.0964196911612, time stamp : 1626780104272
test1.js:13 x : 1085.439364898895, y : 817.3212957132937, time stamp : 1626780105536
test1.js:13 x : 817.118114943148, y : 216.11105577563552, time stamp : 1626780106910
test1.js:13 x : 1090.1743965333358, y : 305.8064604359922, time stamp : 1626780108171
test1.js:13 x : 703.439497877837, y : 282.189846347304, time stamp : 1626780109422
test1.js:13 x : 801.0322838578525, y : 607.6297448458718, time stamp : 1626780110780
test1.js:13 x : 740.4508766497893, y : 507.4216809649511, time stamp : 1626780112110
test1.js:13 x : 801.0281866687682, y : 113.64637416775665, time stamp : 1626780113505
test1.js:13 x : 668.6747212593733, y : 549.3992574355304, time stamp : 1626780114810
test1.js:13 x : 917.9337498170191, y : 124.52481983380513, time stamp : 1626780116071
test1.js:13 x : 408.36847371308556, y : 508.7234960122644, time stamp : 1626780117376
test1.js:13 x : 622.8486014165658, y : 553.3680507250879, time stamp : 1626780118671
test1.js:13 x : 400.6506244047368, y : 411.8877302168259, time stamp : 1626780119939
test1.js:13 x : 636.1823496654345, y : 404.2884692657476, time stamp : 1626780121226
test1.js:13 x : 902.9405899286713, y : 527.2830062649969, time stamp : 1626780122483
test1.js:13 x : 695.0119648387421, y : 403.01162010937094, time stamp : 1626780123756
test1.js:13 x : 716.9163984165715, y : 491.0224611022343, time stamp : 1626780125129
test1.js:13 x : 1211.6424951525087, y : 354.46240901604347, time stamp : 1626780126409
test1.js:13 x : 742.0245871252787, y : 470.8716540913052, time stamp : 1626780127694
test1.js:13 x : 609.1111462047066, y : 659.0035314804807, time stamp : 1626780129037
test1.js:13 x : 618.2637008188965, y : 453.171862382761, time stamp : 1626780130267
test1.js:13 x : 1186.561504915359, y : 389.15578844223785, time stamp : 1626780131619
test1.js:13 x : 1374.2493644348583, y : 509.3570885529098, time stamp : 1626780132920
test1.js:13 x : 809.5806847314857, y : 527.4110250440856, time stamp : 1626780134213
test1.js:13 x : 1210.0859008989714, y : 478.97330807203946, time stamp : 1626780135498
test1.js:13 x : 1473.6597339408022, y : 414.9136947551944, time stamp : 1626780136838
test1.js:13 x : 640.200112017329, y : 565.164118862604, time stamp : 1626780138183
test1.js:13 x : 938.5512056613593, y : 452.415609645541, time stamp : 1626780139497
test1.js:13 x : 896.9315254420578, y : 645.7901966253684, time stamp : 1626780140757
test1.js:13 x : 594.985057757063, y : 537.8169613976772, time stamp : 1626780142086
test1.js:13 x : 1116.875592169733, y : 323.27978473754405, time stamp : 1626780143405
test1.js:13 x : 546.8240491297837, y : 463.08150056862644, time stamp : 1626780144836
test1.js:13 x : 1356.2567758905313, y : 388.00574599953944, time stamp : 1626780146103
test1.js:13 x : 729.2220995394978, y : 146.41740092319378, time stamp : 1626780147507
test1.js:13 x : 909.9017256746663, y : 138.20362356395214, time stamp : 1626780148797
test1.js:13 x : 712.0070141612824, y : 176.307369181617, time stamp : 1626780150071
test1.js:13 x : 458.71057201435667, y : 158.72812397938114, time stamp : 1626780151376
test1.js:13 x : 781.0245826623287, y : 109.45806883611462, time stamp : 1626780152671
test1.js:13 x : 1050.6250544598774, y : 265.1776043763273, time stamp : 1626780153954
test1.js:13 x : 1586.6226467373588, y : 116.7030671224247, time stamp : 1626780155268
